q,demand,supply_flat,supply_curve
0.1,11.90775528,2.01,2.01
0.2,9.828313737,2.01,2.04
0.3,8.611918413,2.01,2.09
0.4,7.748872196,2.01,2.16
0.5,7.079441542,2.01,2.25
0.6,6.532476871,2.01,2.36
0.7,6.070024832,2.01,2.49
0.8,5.669430654,2.01,2.64
0.9,5.316081547,2.01,2.81
1,5,2.01,3
1.1,4.714069461,2.01,3.21
1.2,4.45303533,2.01,3.44
1.3,4.212907207,2.01,3.69
1.4,3.99058329,2.01,3.96
1.5,3.783604676,2.01,4.25
1.6,3.589989112,2.01,4.56
1.7,3.408115247,2.01,4.89
1.8,3.236640005,2.01,5.24
1.9,3.074438341,2.01,5.61
2,2.920558458,2.01,6
2.1,2.774187966,2.01,6.41
2.2,2.634627919,2.01,6.84
2.3,2.501272631,2.01,7.29
2.4,2.373593788,2.01,7.76
2.5,2.251127804,2.01,8.25
2.6,2.133465665,2.01,8.76
2.7,2.020244681,2.01,9.29
2.8,1.911141748,2.01,9.84
2.9,1.805867789,2.01,10.41
3,1.704163134,2.01,11
3.1,1.605793666,2.01,11.61
3.2,1.510547571,2.01,12.24
3.3,1.418232595,2.01,12.89
3.4,1.328673705,2.01,13.56
3.5,1.241711095,2.01,14.25
3.6,1.157198464,2.01,14.96
3.7,1.075001541,2.01,15.69
3.8,0.9949968,2.01,16.44
3.9,0.917070341,2.01,17.21
4,0.841116917,2.01,18
4.1,0.767039079,2.01,18.81
4.2,0.694746424,2.01,19.64
4.3,0.624154932,2.01,20.49
4.4,0.555186377,2.01,21.36
4.5,0.48776781,2.01,22.25
4.6,0.42183109,2.01,23.16
4.7,0.357312474,2.01,24.09
4.8,0.294152246,2.01,25.04
4.9,0.232294385,2.01,26.01
5,0.171686263,2.01,27
